workspace,path,upstreamChange,upstreamSourcePath,upstreamTargetPath,importResolvedPath,currentResolvedPath,importRelation,currentRelation,changedSinceImport,baseExists,targetExists,importExists,currentExists,baseSha256,targetSha256,importSha256,currentSha256
agent,CHANGELOG.md,M,packages/agent/CHANGELOG.md,packages/agent/CHANGELOG.md,pi/agent/CHANGELOG.md,pi/agent/CHANGELOG.md,diverged,diverged,false,true,true,true,true,2e0f2685558f62081865c8e6a5ebb19f076b3981cfaef4ae61e63d85d4ee18ea,5fc96dd7d5cc9904cb5997db760c178b4d9174ea1f7cb7168e0842763c5bde7d,6b579b00be35461b5486ab58323cde1c8a213bc8e41dd8f1d00225bcfc1adbf5,6b579b00be35461b5486ab58323cde1c8a213bc8e41dd8f1d00225bcfc1adbf5
agent,README.md,M,packages/agent/README.md,packages/agent/README.md,pi/agent/README.md,pi/agent/README.md,exact_base,diverged,true,true,true,true,true,966f93b5ba3ddc1c9b472ab3a63878244dc89f860826bc7b29a8d35fe7fd931a,4c5693e966737772caba217bd4b6267cab4bb9c5256aa1ad98cf93d0d04d60ca,966f93b5ba3ddc1c9b472ab3a63878244dc89f860826bc7b29a8d35fe7fd931a,75b7c22745227d34c9aca65d1ba4c039517d7a1302add55d63c872941d98c69b
agent,docs/agent-harness.md,M,packages/agent/docs/agent-harness.md,packages/agent/docs/agent-harness.md,pi/agent/docs/agent-harness.md,pi/agent/docs/agent-harness.md,exact_base,diverged,true,true,true,true,true,5a455054ad5a7ad377787289c70ceeaaaf0c0cbe363c766392e7d9e742df31e8,d73baabf457816e1eff0b90cd299c805e35d92f51b77a803f0d8233048a06645,5a455054ad5a7ad377787289c70ceeaaaf0c0cbe363c766392e7d9e742df31e8,7694e51d852e83ad096e02100b33816a66bc1587733e6cfab040f824ed7b1803
agent,docs/models.md,M,packages/agent/docs/models.md,packages/agent/docs/models.md,pi/agent/docs/models.md,pi/agent/docs/models.md,diverged,diverged,true,true,true,true,true,77ca36d1310bb3bdc6a42194a8eb9b3bed2c46f71a51d08a560ff0a685978f2f,b3e8021636399fa0795ce0b09d3c34619d3cf8165220dc4c799f6547f99d4fcb,b108da745f4afaf64a65b4bd2b50388efa0964556e9e9907eea2cdade3f6a323,69ac5d0bcf52f258523aa69a0bfcef88ad3ff2a9f1e999a5b6b30ec82bd1d0af
agent,package.json,M,packages/agent/package.json,packages/agent/package.json,pi/agent/package.json,pi/agent/package.json,exact_base,diverged,true,true,true,true,true,a2ce5e3afd9f816ac189ccc28f261db682e7a776832366703745fc6a1aca9d24,b0bceca516341f36540500c94d49bbaae3b82df8df99de4d119cec6ad2f128ed,a2ce5e3afd9f816ac189ccc28f261db682e7a776832366703745fc6a1aca9d24,80eaa338fb2dfa40ba3211b273a716323a58fd4b7c4755ff304d60312d8de066
agent,src/agent-loop.ts,M,packages/agent/src/agent-loop.ts,packages/agent/src/agent-loop.ts,pi/agent/src/agent-loop.ts,pi/agent/src/agent-loop.ts,exact_base,diverged,true,true,true,true,true,64b9ba4aca90a6ff6a12b7b9392bd1ae4a95e3c463bf8d2ffe66750e69e483ea,fbc59bc12d7feeaec6a966b42bae3131f6db9cd96e537f623653c506f6967ffb,64b9ba4aca90a6ff6a12b7b9392bd1ae4a95e3c463bf8d2ffe66750e69e483ea,8816d1815ef6c6ba1795fc4249e8ff4e0a56161bc7b557ea755defc75ed73968
agent,src/agent.ts,M,packages/agent/src/agent.ts,packages/agent/src/agent.ts,pi/agent/src/agent.ts,pi/agent/src/agent.ts,exact_base,diverged,true,true,true,true,true,f1edcd12a8c5c6e5ec7d324562e63db352abd5c3c5ac3d54705fe0b0a24661f5,28bd9032a9ec7f1b6b3a55c6c876c0332879d51030483cb191cde8b53be9646f,f1edcd12a8c5c6e5ec7d324562e63db352abd5c3c5ac3d54705fe0b0a24661f5,269e7a65e4caef8941915a8513ad59ecc6af7e551a04a47e139ac24843269409
agent,src/harness/compaction/compaction.ts,M,packages/agent/src/harness/compaction/compaction.ts,packages/agent/src/harness/compaction/compaction.ts,pi/agent/src/harness/compaction/compaction.ts,pi/agent/src/harness/compaction/compaction.ts,deleted_or_absent,deleted_or_absent,false,true,true,false,false,1789101d10d4c54bc10e11977ef643f601647046a28a22f988d0178d3770888d,0f9f17bd392d36ab3454ae3271a23656b024260ea61874a8095cc9c93acd6725,,
agent,src/harness/env/nodejs.ts,M,packages/agent/src/harness/env/nodejs.ts,packages/agent/src/harness/env/nodejs.ts,pi/agent/src/harness/env/nodejs.ts,pi/agent/src/harness/env/nodejs.ts,deleted_or_absent,deleted_or_absent,false,true,true,false,false,07f510286e412254ed12bcb7ca3e3e24d757b6d53fc76bb1f40ccec7d8c302af,392739c6de347ab2c4b5c8cfcf26139d51a2956b52d0ba3efc4883e3ebe77877,,
agent,src/harness/session/jsonl-repo.ts,M,packages/agent/src/harness/session/jsonl-repo.ts,packages/agent/src/harness/session/jsonl-repo.ts,pi/agent/src/harness/session/jsonl-repo.ts,pi/agent/src/harness/session/jsonl-repo.ts,deleted_or_absent,deleted_or_absent,false,true,true,false,false,6b2e679a44b70aab82639aade743d16c599704e0beed591bfd3b99f7b37f4598,47ce217c82f26af65231e6d72959148c3e7e35cc6afa843e278c879f99da7ba4,,
